Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:42,2022-07-12 23:38:44,2.273s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:44,2022-07-12 23:38:44,0.168s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:44,2022-07-12 23:38:47,3.082s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:47,2022-07-12 23:38:48,1.006s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:48,2022-07-12 23:38:49,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:49,2022-07-12 23:38:50,0.882s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:50,2022-07-12 23:38:51,1.356s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:51,2022-07-12 23:38:52,0.582s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:52,2022-07-12 23:38:52,0.832s,PASSED
,,,,,,,
Test Cases/93_New Training Program Introduction Page,Chrome 103.0.5060.114,,,2022-07-12 23:38:52,2022-07-12 23:39:03,10.989s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:53,2022-07-12 23:38:56,2.284s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:56,2022-07-12 23:38:56,0.173s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:56,2022-07-12 23:38:59,2.930s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:59,2022-07-12 23:38:59,0.605s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:59,2022-07-12 23:39:00,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:00,2022-07-12 23:39:01,0.880s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:01,2022-07-12 23:39:02,1.148s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:02,2022-07-12 23:39:03,0.706s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:03,2022-07-12 23:39:03,0.880s,PASSED
,,,,,,,
Test Cases/94_New Training Program Information Page,Chrome 103.0.5060.114,,,2022-07-12 23:39:03,2022-07-12 23:39:16,12.280s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:05,2022-07-12 23:39:06,1.877s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:06,2022-07-12 23:39:07,0.166s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:07,2022-07-12 23:39:10,2.953s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:10,2022-07-12 23:39:11,1.487s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:11,2022-07-12 23:39:12,0.659s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:12,2022-07-12 23:39:13,0.939s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:13,2022-07-12 23:39:14,1.003s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:14,2022-07-12 23:39:14,0.756s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:14,2022-07-12 23:39:16,1.355s,PASSED
,,,,,,,
Test Cases/95_New Training Program Scope section,Chrome 103.0.5060.114,,,2022-07-12 23:39:16,2022-07-12 23:39:27,11.194s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:18,2022-07-12 23:39:20,2.130s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:20,2022-07-12 23:39:20,0.193s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:20,2022-07-12 23:39:23,2.532s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:23,2022-07-12 23:39:24,1.177s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:24,2022-07-12 23:39:24,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:24,2022-07-12 23:39:25,0.869s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:25,2022-07-12 23:39:26,0.680s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:26,2022-07-12 23:39:26,0.547s,PASSED
