Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:40,2022-07-12 23:39:41,0.567s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:41,2022-07-12 23:39:41,0.609s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:41,2022-07-12 23:39:42,0.620s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:39:42,2022-07-12 23:39:43,0.868s,PASSED
,,,,,,,
Test Cases/35_Safety Prevention Landing Page Home Tab Sidebar,Chrome 103.0.5060.114,,,2022-07-12 23:39:43,2022-07-12 23:39:53,9.711s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:39:44,2022-07-12 23:39:46,1.540s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:39:46,2022-07-12 23:39:46,0.147s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:46,2022-07-12 23:39:48,2.457s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:39:48,2022-07-12 23:39:49,0.923s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:49,2022-07-12 23:39:50,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:50,2022-07-12 23:39:50,0.652s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:39:50,2022-07-12 23:39:51,0.673s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:39:51,2022-07-12 23:39:52,0.735s,PASSED
